Term	g	Prefix	Level (cm-1)	Suffix
"1S"	1	""	"0.000"	""	
"3P*"	1	""	"21850.405"	""	
"3P*"	3	""	"21870.464"	""	
"3P*"	5	""	"21911.178"	""	
"1P*"	3	""	"35051.264"	""	
"3S"	3	""	"41197.403"	""	
"1S"	1	""	"43503.333"	""	
"1D"	5	""	"46403.065"	""	
"3P*"	1	""	"47841.119"	""	
"3P*"	3	""	"47844.414"	""	
"3P*"	5	""	"47851.162"	""	
"3D"	5	""	"47957.027"	""	
"3D"	7	""	"47957.045"	""	
"3D"	3	""	"47957.058"	""	
"1P*"	3	""	"49346.729"	""	
"3S"	3	""	"51872.526"	""	
"1S"	1	""	"52556.206"	""	
"1D"	5	""	"53134.642"	""	
"3D"	7	""	"54192.256"	""	
"3D"	5	""	"54192.294"	""	
"3D"	3	""	"54192.335"	""	
"3P*"	1	""	"54248.809"	""	
"3P*"	3	""	"54250.086"	""	
"3P*"	5	""	"54252.726"	""	
"1F*"	7	""	"54676.438"	""	
"3F*"	5	""	"54676.654"	""	
"3F*"	7	""	"54676.701"	""	
"3F*"	9	""	"54676.755"	""	
"1P*"	3	""	"54706.536"	""	
"3S"	3	""	"55891.80"	""	
"1S"	1	""	"56186.873"	""	
"1D"	5	""	"56308.381"	""	
"3D"	7	""	"56968.218"	""	
"3D"	5	""	"56968.248"	""	
"3D"	3	""	"56968.271"	""	
"3P*"	1	""	"57017.078"	""	
"3P*"	3	""	"57017.724"	""	
"3P*"	5	""	"57019.025"	""	
"1F*"	7	""	"57204.163"	""	
"3F*"	5	""	"57204.228"	""	
"3F*"	7	""	"57204.267"	""	
"3F*"	9	""	"57204.305"	""	
"1P*"	3	""	"57214.992"	""	
"1G"	9	""	"57262.760"	""	
"3G"	7	""	"57262.760"	""	
"3G"	9	""	"57262.760"	""	
"3P"	1	""	"57812.77"	""	
"3P"	3	""	"57833.40"	""	
"3S"	3	""	"57855.214"	""	
"3P"	5	""	"57873.94"	""	
"1S"	1	""	"58009.41"	""	
"1D"	5	""	"58023.246"	""	
"3D"	7	""	"58442.843"	""	
"3D"	5	""	"58442.853"	""	
"3D"	3	""	"58442.874"	""	
"3P*"	1	""	"58476.689"	""	
"3P*"	3	""	"58477.020"	""	
"3P*"	5	""	"58477.760"	""	
"1F*"	7	""	"58575.477"	""	
"3F*"	5	""	"58575.527"	""	
"3F*"	7	""	"58575.527"	""	
"3F*"	9	""	"58575.527"	""	
"1P*"	3	""	"58580.23"	""	
"1G"	9	""	"58610.795"	""	
"3G"	7	""	"58610.795"	""	
"3G"	9	""	"58610.795"	""	
"3G"	11	""	"58610.795"	""	
"H*"		""	"58618.942"	""	
"3S"	3	""	"58962.739"	""	
"1D"	5	""	"59041.019"	""	
"1S"	1	""	"59053.52"	""	
"3D"	7	""	"59318.764"	""	
"3D"	5	""	"59318.775"	""	
"3D"	3	""	"59318.793"	""	
"3P*"	1	""	"59342.51"	""	
"3P*"	3	""	"59342.51"	""	
"3P*"	5	""	"59342.51"	""	
"3F*"	5	""	"59400.763"	""	
"3F*"	7	""	"59400.763"	""	
"3F*"	9	""	"59400.763"	""	
"1F*"	7	""	"59400.763"	""	
"1P*"	3	""	"59403.18"	""	
"1G"	9	""	"59423.537"	""	
"3G"	7	""	"59423.537"	""	
"3G"	9	""	"59423.537"	""	
"3G"	11	""	"59423.537"	""	
"H*"		""	"59428.853"	""	
"I"		""	"59430.517"	""	
"3S"	3	""	"59649.15"	""	
"1D"	5	""	"59689.991"	""	
"1S"	1	""	"59707.11"	""	
"3D"	7	""	"59881.168"	""	
"3D"	5	""	"59881.181"	""	
"3D"	3	""	"59881.196"	""	
"3P*"	1	""	"59897.86"	""	
"3P*"	3	""	"59897.86"	""	
"3P*"	5	""	"59897.86"	""	
"3F*"	5	""	"59935.370"	""	
"3F*"	7	""	"59935.370"	""	
"3F*"	9	""	"59935.370"	""	
"1F*"	7	""	"59935.370"	""	
"1P*"	3	""	"59936.63"	""	
"1G"	9	""	"59950.87"	""	
"3G"	9	""	"59950.87"	""	
"3G"	11	""	"59950.87"	""	
"H*"		""	"59954.523"	""	
"3S"	3	""	"60104.00"	""	
"1D"	5	""	"60127.239"	""	
"1S"	1	""	"60143.23"	""	
"3D"	3	""	"60263.583"	""	
"3D"	5	""	"60263.583"	""	
"3D"	7	""	"60263.583"	""	
"3F*"	5	""	"60301.283"	""	
"3F*"	7	""	"60301.283"	""	
"3F*"	9	""	"60301.283"	""	
"1F*"	7	""	"60301.283"	""	
"1P*"	3	""	"60302.30"	""	
"G"	7	""	"60312.317"	""	
"H*"		""	"60314.902"	""	
"I"		""	"60315.722"	""	
"K*"		""	"60316.041"	""	
"3S"	3	""	"60420.87"	""	
"1D"	5	""	"60435.099"	""	
"3D"	3	""	"60535.34"	""	
"3D"	5	""	"60535.34"	""	
"3D"	7	""	"60535.34"	""	
"3F*"	5	""	"60562.637"	""	
"3F*"	7	""	"60562.637"	""	
"3F*"	9	""	"60562.637"	""	
"1F*"	7	""	"60562.637"	""	
"1P*"	3	""	"60563.35"	""	
"3S"	3	""	"60650.46"	""	
"1D"	5	""	"60659.69"	""	
"3D"	3	""	"60735.38"	""	
"3D"	5	""	"60735.38"	""	
"3D"	7	""	"60735.38"	""	
"3F*"	5	""	"60755.764"	""	
"3F*"	7	""	"60755.764"	""	
"3F*"	9	""	"60755.764"	""	
"1F*"	7	""	"60755.764"	""	
"1P*"	3	""	"60756.13"	""	
